dataset,train_loss,train_acc,val_loss,val_acc,time_elapsed_sec,total_time_elapsed_sec,model_index,arch_hidden_layers,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_batch_size,arch_random_seed
Jasmine,0.03712410640192007,0.9889994761655317,1.0991384404473723,0.7782426778242678,6.6061015129089355,24.267197847366333,8,"[71, 126, 359, 216]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.004314166971463798,128,777
Jasmine,0.45721144580041756,0.786799371398638,0.4718877650703845,0.7719665271966527,3.1225504875183105,27.391748666763306,9,"[452, 362, 462, 96]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.0010432463509864264,64,1337
Jasmine,0.5818496415476452,0.7228915662650602,0.5514415502548218,0.7531380753138075,3.536874294281006,30.931339502334595,10,"[217, 478]",<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0014207092884412935,64,1337
Jasmine,0.0688209142984755,0.9732844421162913,0.8694557335586228,0.7845188284518828,1.7307331562042236,32.663073778152466,11,"[387, 250]",<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.adam.Adam'>,0.006585852644388205,256,777
Jasmine,0.14634428935924582,0.9512833944473547,0.5747868696765421,0.7740585774058577,8.406958818435669,41.07203245162964,12,"[224, 458]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.006906864276000607,64,13
Jasmine,0.4893773830236722,0.7658459926663175,0.46540510953719644,0.7635983263598326,4.344478368759155,45.417510986328125,13,"[144, 203, 338]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.005688027388153941,256,1337
Jasmine,0.30972865431517316,0.8795180722891566,0.476426812520087,0.7698744769874477,4.773085117340088,50.19259595870972,14,"[321, 374, 69, 233]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.008496639910199656,128,1337
Jasmine,0.1152803124386706,0.9580932425353589,0.9115219530201357,0.7907949790794979,1.2501335144042969,51.4439435005188,15,"[150, 205]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.008268479936494013,256,1337
Jasmine,0.6961396506096194,0.4939759036144578,0.6908718347549438,0.5334728033472803,1.021404504776001,52.46634817123413,16,"[230, 319, 185, 388, 45, 288]",<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.0017941964831810172,512,1337
Jasmine,0.695988569820408,0.49869041382922996,0.6954358282448357,0.4665271966527197,1.4926509857177734,53.960997104644775,17,"[91, 309, 62]",<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.sgd.SGD'>,0.008562997135371554,128,777
Jasmine,0.016656305099412558,0.9947616553169198,2.1870310815308383,0.7615062761506276,3.650752305984497,57.61326026916504,18,"[44, 237, 412]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0037668223172889767,64,2024
Jasmine,0.6927797452450548,0.5044525929806182,0.6920781828868339,0.7175732217573222,2.909986734390259,60.5252468585968,19,"[427, 299, 188]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.009191365928918976,128,13
Jasmine,0.5185437597424151,0.7668936616029335,0.5183295475389169,0.7761506276150628,1.6331560611724854,62.160401344299316,20,"[117, 263]",<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.004937261016990418,256,1337
Jasmine,0.6935472418151644,0.5018334206390781,0.6921945613298456,0.5334728033472803,1.5917408466339111,63.753143310546875,21,"[464, 191, 165, 148, 344, 46, 212]",<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.007927573548283872,256,777
Jasmine,0.02233795676089632,0.9942378208486118,3.7743100860627625,0.7782426778242678,3.1499099731445312,66.9060537815094,22,"[141, 273, 184, 415, 260, 323]",<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.007945086409909798,256,1337
