index,dataset_id,train_loss,train_acc,val_loss,val_acc,training_time_sec,hidden_layers,activation_fn,dropout_rate,learning_rate,batch_size,optimizer_type
10,Higgs,0.6596574141382259,0.6326491585925548,,0.6684727180010199,124.34094595909119,"[456, 321, 290]",type,0.5,0.0091083677596765,128,Adam
11,Higgs,0.5156103350081533,0.7386059408465069,,0.72035951045385,67.1950204372406,"[467, 339, 270, 285, 355]",type,0.0,0.0017612996244623,1024,Adam
12,Higgs,0.6534415422684681,0.6271991330953595,,0.6510708822029577,73.3780369758606,"[67, 166, 159, 274, 213]",type,0.5,0.007492917977528,128,Adam
0,Jasmine,0.029095922100600177,0.9921424829753798,1.666840672492981,0.7866108786610879,2.806669235229492,"[466, 20, 320, 119, 202, 241]",type,0.5,0.0032832808319349,1024,Adam
1,Jasmine,0.6288162042109238,0.8643268727082242,1.6620791985898835,0.7887029288702929,3.6849429607391357,"[493, 447, 434]",type,0.5,0.0083637811884164,128,Adam
2,Jasmine,0.1376215631562793,0.9470927187008905,1.188451157952951,0.7761506276150628,1.893608808517456,"[426, 162, 199, 369, 182, 444, 44]",type,0.1,0.0072748219707524,256,Adam
3,Jasmine,0.22212736890102444,0.9114719748559456,0.7022480969648481,0.7866108786610879,3.3476569652557373,"[78, 220, 407, 143]",type,0.5,0.0057049114713028,128,Adam
4,Jasmine,0.050745220346529486,0.9821896280775275,1.3633990287780762,0.7928870292887029,1.488502025604248,"[275, 355]",type,0.5,0.0071930906210209,1024,Adam
5,Jasmine,0.1427332911349642,0.9444735463593504,0.7964217662811279,0.7803347280334728,1.5976624488830566,"[328, 488, 154, 236, 305]",type,0.5,0.0023996301717713,512,Adam
6,Jasmine,0.04232425607190574,0.9874279727606077,1.3483127829420019,0.7928870292887029,3.210022449493408,"[148, 421]",type,0.5,0.0018880688521839,256,Adam
7,Jasmine,0.04443241849799254,0.9837611314824516,1.2429540641138244,0.7803347280334728,5.183973550796509,"[379, 431, 375]",type,0.1,0.0011831917672932,64,Adam
8,Jasmine,0.05585683809838225,0.9848088004190676,1.1117699520358482,0.7740585774058577,3.9526565074920654,"[258, 238, 44]",type,0.1,0.008480601960788,64,Adam
9,Jasmine,0.19808641287623555,0.9214248297537978,0.6748289465904236,0.7803347280334728,1.2777199745178223,"[109, 247, 54]",type,0.5,0.0038428241423689,1024,Adam
10,Jasmine,0.033811863101999316,0.9900471451021478,1.3186602592468262,0.797071129707113,1.868173599243164,"[312, 29, 509, 173]",type,0.2,0.001234675002983,512,Adam
11,Jasmine,0.1476091726826023,0.9444735463593504,1.0586571049989517,0.7845188284518828,1.8136918544769287,"[194, 106]",type,0.5,0.0099215814102528,256,Adam
12,Jasmine,0.08287708491336744,0.9837611314824516,0.6938826441764832,0.7761506276150628,1.2489490509033203,"[370, 27, 492]",type,0.0,0.0016358918161886,1024,Adam
13,Jasmine,0.2631546291866622,0.8868517548454689,0.6069375882587672,0.7698744769874477,3.7337703704833984,"[29, 85]",type,0.5,0.0012779422746755,64,Adam
14,Jasmine,0.5396365338654465,0.7082242011524358,0.4367257869143865,0.7719665271966527,2.8326821327209473,"[25, 289, 290]",type,0.5,0.003391876677808,64,Adam
15,Jasmine,0.2664876766639458,0.8994237820848612,0.7864199360544213,0.7782426778242678,7.783601760864258,"[381, 453, 209, 317, 431]",type,0.2,0.003570442172718,32,Adam
16,Jasmine,0.01669324659427746,0.9931901519119958,1.5580894947052002,0.7761506276150628,1.691471815109253,"[48, 502, 454]",type,0.1,0.0038613949095868,512,Adam
17,Jasmine,0.15989641057626935,0.9491880565741225,0.6220171409171994,0.7845188284518828,1.9526774883270264,"[186, 443]",type,0.0,0.0013595145468168,256,Adam
18,Jasmine,0.6215277234567529,0.6684127815610267,0.44773510435136293,0.7552301255230126,5.633827209472656,"[123, 252, 479, 43]",type,0.5,0.0083002673058197,32,Adam
19,Jasmine,0.07151700599990383,0.9806181246726035,0.757206126735799,0.7949790794979079,2.752293825149536,"[182, 398, 425]",type,0.0,0.0012673711265454,128,Adam
20,Jasmine,0.564219328731439,0.7333682556312205,0.4553224019176292,0.7594142259414226,4.186250686645508,"[193, 16, 360, 81, 425, 137]",type,0.5,0.0074716145391995,64,Adam
21,Jasmine,0.35411425310320227,0.859088528025144,0.5086087674276599,0.7740585774058577,5.251962661743164,"[20, 470, 19]",type,0.5,0.0038200442378307,64,Adam
22,Jasmine,0.17473007165648788,0.9339968569931901,0.7248918713386089,0.7824267782426778,2.782900810241699,"[183, 154, 237, 401, 218]",type,0.5,0.0025066375426607,128,Adam
23,Jasmine,0.5658784736632801,0.713986380303824,0.4617511196116523,0.7573221757322176,6.129000425338745,"[264, 378, 155, 143, 243]",type,0.5,0.0064342543819881,32,Adam
24,Jasmine,0.040143548111412276,0.9916186485070718,1.7320478171983025,0.7761506276150628,13.493382215499878,"[120, 231, 285, 182, 29, 177]",type,0.2,0.0026477960920864,32,Adam
25,Jasmine,0.706991058547438,0.49083289680460973,0.6921171431262124,0.5334728033472803,5.823687314987183,"[307, 49, 364, 178, 82, 191]",type,0.0,0.008759833265836,32,Adam
26,Jasmine,0.22533020100835857,0.9057097957045573,0.597815445776265,0.7824267782426778,1.7680532932281494,"[47, 132, 502]",type,0.5,0.0045240702937928,256,Adam
27,Jasmine,0.3974952765351631,0.8260869565217391,0.47174065831316064,0.7677824267782427,2.344759702682495,"[81, 484, 15, 227, 384, 55]",type,0.1,0.0096499750244455,128,Adam
28,Jasmine,0.04547287473789743,0.9806181246726035,1.5461103916168213,0.7907949790794979,1.6904995441436768,"[214, 315, 207, 81, 327, 298]",type,0.2,0.0077370558490731,512,Adam
